183	-182.00	-3.36
157	-156.00	-3.36
125	-124.00	-4.21
124	-123.00	-4.39
117	-116.00	-6.31
108	-107.00	-3.00
107	-106.00	-3.28
105	-104.00	-3.77
204	-101.00	-3.86
102	-101.00	-3.43
96	-95.00	-4.05
94	-93.00	-1.41
362	-89.50	-3.41
360	-89.00	-3.39
174	-86.00	-3.35
82	-81.00	-1.10
76	-75.00	-4.07
75	-74.00	-4.00
222	-73.00	-2.70
74	-73.00	-0.95
74	-73.00	-0.90
73	-72.00	-3.87
72	-71.00	-35.00
144	-71.00	-4.14
72	-71.00	-1.06
71	-70.00	-3.73
70	-69.00	-4.00
69	-68.00	-3.93
340	-67.00	-3.86
68	-67.00	-1.12
67	-66.00	-4.15
603	-66.00	-3.79
201	-66.00	-2.35
198	-65.00	-3.71
258	-63.50	-2.39
128	-63.00	-3.57
126	-62.00	-0.91
62	-61.00	-3.77
186	-61.00	-2.44
61	-60.00	-3.36
61	-60.00	-2.59
360	-59.00	-3.62
60	-59.00	-2.75
240	-59.00	-2.53
60	-59.00	-1.61
119	-58.50	-2.40
59	-58.00	-58.00
118	-58.00	-2.69
59	-58.00	-1.11
59	-58.00	-0.48
117	-57.50	-2.66
116	-57.00	-2.87
58	-57.00	-2.62
58	-57.00	-1.00
58	-57.00	-0.41
172	-56.33	-2.37
57	-56.00	-2.35
112	-55.00	-8.33
504	-55.00	-2.73
112	-55.00	-2.50
56	-55.00	-1.55
111	-54.50	-2.70
110	-54.00	-2.44
53	-52.00	-2.53
53	-52.00	-0.51
52	-51.00	-2.71
52	-51.00	-1.89
156	-51.00	-1.74
104	-51.00	-1.36
364	-51.00	-1.17
52	-51.00	-1.00
155	-50.67	-2.69
102	-50.00	-4.10
102	-50.00	-0.42
51	-50.00	-0.38
100	-49.00	-2.85
200	-49.00	-2.57
50	-49.00	-1.38
150	-49.00	-1.08
100	-49.00	-1.00
198	-48.50	-2.47
49	-48.00	-3.90
245	-48.00	-2.77
98	-48.00	-2.50
98	-48.00	-1.65
98	-48.00	-1.51
98	-48.00	-1.45
49	-48.00	-1.13
245	-48.00	-1.04
98	-48.00	-0.69
97	-47.50	-1.62
97	-47.50	-1.55
97	-47.50	-1.42
96	-47.00	-2.69
48	-47.00	-2.43
48	-47.00	-1.67
48	-47.00	-1.09
48	-47.00	-1.00
96	-47.00	-0.71
48	-47.00	-0.66
240	-47.00	-0.41
144	-47.00	-0.37
95	-46.50	-2.65
47	-46.00	-3.70
141	-46.00	-2.92
141	-46.00	-2.62
94	-46.00	-1.04
47	-46.00	-0.62
47	-46.00	-0.42
94	-46.00	-0.40
47	-46.00	-0.38
370	-45.25	-2.43
46	-45.00	-3.60
46	-45.00	-1.19
184	-45.00	-1.00
92	-45.00	-0.92
45	-44.00	-4.00
135	-44.00	-2.46
45	-44.00	-0.41
895	-43.75	-2.44
88	-43.00	-43.00
88	-43.00	-5.29
176	-43.00	-1.00
176	-43.00	-0.63
44	-43.00	-0.47
43	-42.00	-5.14
43	-42.00	-1.69
86	-42.00	-1.39
43	-42.00	-1.26
86	-42.00	-1.15
86	-42.00	-1.05
129	-42.00	-0.95
86	-42.00	-0.79
43	-42.00	-0.59
43	-42.00	-0.48
42	-41.00	-6.00
42	-41.00	-5.00
126	-41.00	-4.25
42	-41.00	-3.20
168	-41.00	-2.57
